query_idx,recall,underfill,latency_ms,dist_ops,n_returned,strategy,target_selectivity,true_selectivity,sel_hat,metadata_variant,planner_reason
194,1.0,False,0.029799994081258774,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
195,1.0,False,0.03689998993650079,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
196,1.0,False,0.03029999788850546,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
197,1.0,False,0.03170000854879618,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
198,1.0,False,0.029400005587376654,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
199,1.0,False,0.02510000194888562,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
20,1.0,False,371.23499999870546,59894,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
21,1.0,False,360.43359999894165,53963,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
22,1.0,False,359.1117000032682,53927,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
23,1.0,False,362.19650000566617,54632,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
24,1.0,False,354.8396000114735,54031,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
25,1.0,False,353.26780000468716,55041,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
26,1.0,False,362.4389000033261,54021,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
27,1.0,False,354.23460000311024,54106,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
28,1.0,False,355.1141999923857,53951,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
29,1.0,False,392.17949999147095,58265,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
30,1.0,False,353.5196000011638,54232,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
31,1.0,False,350.8185999962734,54203,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
32,1.0,False,347.4290999874938,54630,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
33,1.0,False,380.94259999343194,74538,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
34,1.0,False,347.1172999998089,54613,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
35,1.0,False,355.8152999903541,63812,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
36,1.0,False,353.65920000185724,60597,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
37,1.0,False,370.26729999342933,71820,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
38,1.0,False,348.4318999981042,55125,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
39,1.0,False,383.93329999234993,61132,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
40,1.0,False,338.0516000033822,54181,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
41,1.0,False,360.4378999880282,62661,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
42,1.0,False,357.1605000033742,54187,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
43,1.0,False,360.36399999284185,54102,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
44,1.0,False,360.25909999443684,61779,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
45,1.0,False,356.92829999607056,56143,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
46,1.0,False,364.2212999984622,65755,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
